epoch,step,test_accuracy,test_loss,train_loss,val_accuracy,val_loss
0,49,,,1.6463422775268555,,
0,99,,,1.060267448425293,,
0,149,,,1.2893258333206177,,
0,167,,,,0.7586666941642761,0.7708073854446411
1,168,0.8149999976158142,0.6559992432594299,,,
