epoch,step,test_accuracy,test_loss,train_loss,val_accuracy,val_loss
0,49,,,1.8103348016738892,,
0,99,,,1.424533724784851,,
0,149,,,1.0600461959838867,,
0,199,,,0.8171778917312622,,
0,249,,,1.014559268951416,,
0,299,,,0.5159671306610107,,
0,349,,,0.5235077738761902,,
0,399,,,0.4164031147956848,,
0,449,,,0.6012240052223206,,
0,499,,,0.5755258202552795,,
0,549,,,0.3986082673072815,,
0,599,,,0.20540910959243774,,
0,649,,,0.27408021688461304,,
0,699,,,0.19952866435050964,,
0,749,,,0.4901787042617798,,
0,799,,,0.7737585306167603,,
0,843,,,,0.9309999942779541,0.2233879566192627
1,844,0.9243999719619751,0.2358669936656952,,,
